i,Length_LCS,time
12730,2875,0.729000
12740,2897,0.629000
12750,2881,0.712000
12760,2885,0.582000
12770,2869,0.776000
12780,2897,0.740000
12790,2888,0.710000
12800,2887,0.724000
12810,2890,0.753000
12820,2908,0.667000
12830,2904,0.724000
12840,2888,0.738000
12850,2896,0.754000
12860,2917,0.699000
12870,2899,0.597000
12880,2925,0.690000
12890,2911,0.678000
12900,2901,0.551000
12910,2923,0.618000
12920,2912,0.772000
12930,2923,0.687000
12940,2924,0.527000
12950,2933,0.611000
12960,2933,0.542000
12970,2930,0.795000
12980,2923,0.538000
12990,2928,0.707000
13000,2935,0.551000
13010,2937,0.652000
13020,2925,0.844000
13030,2933,0.732000
13040,2942,0.719000
13050,2955,0.808000
13060,2945,0.726000
13070,2953,0.837000
13080,2944,0.571000
13090,2953,0.545000
13100,2983,0.715000
13110,2962,0.709000
13120,2961,0.831000
13130,2958,0.809000
13140,2965,0.682000
13150,2978,0.533000
13160,2977,0.748000
